Wavelength (um), R
2.500000000000000000e+00,1.173046875000000000e+03
2.500100000000000211e+00,1.173090599068741767e+03
2.500200000000000422e+00,1.173134321274932972e+03
2.500300000000000633e+00,1.173178041618523366e+03
2.500400000000000844e+00,1.173221760099463154e+03
2.500500000000001055e+00,1.173265476717700494e+03
2.500600000000001266e+00,1.173309191473186502e+03
2.500700000000001477e+00,1.173352904365870472e+03
2.500800000000001688e+00,1.173396615395701247e+03
2.500900000000001899e+00,1.173440324562629485e+03
2.501000000000002110e+00,1.173484031866604255e+03
2.501100000000002321e+00,1.173527737307575535e+03
2.501200000000002532e+00,1.173571440885492848e+03
2.501300000000002743e+00,1.173615142600305944e+03
2.501400000000002954e+00,1.173658842451964574e+03
2.501500000000003165e+00,1.173702540440418488e+03
2.501600000000003376e+00,1.173746236565617210e+03
2.501700000000003588e+00,1.173789930827510261e+03
2.501800000000003799e+00,1.173833623226048076e+03
2.501900000000004010e+00,1.173877313761179721e+03
2.502000000000004221e+00,1.173921002432855403e+03
2.502100000000004432e+00,1.173964689241024644e+03
2.502200000000004643e+00,1.174008374185637422e+03
2.502300000000004854e+00,1.174052057266642805e+03
2.502400000000005065e+00,1.174095738483991681e+03
2.502500000000005276e+00,1.174139417837633118e+03
2.502600000000005487e+00,1.174183095327516867e+03
2.502700000000005698e+00,1.174226770953593132e+03
2.502800000000005909e+00,1.174270444715811664e+03
2.502900000000006120e+00,1.174314116614121758e+03
2.503000000000006331e+00,1.174357786648473848e+03
2.503100000000006542e+00,1.174401454818817911e+03
2.503200000000006753e+00,1.174445121125103014e+03
2.503300000000006964e+00,1.174488785567279592e+03
2.503400000000007175e+00,1.174532448145297167e+03
2.503500000000007386e+00,1.174576108859105943e+03
2.503600000000007597e+00,1.174619767708655445e+03
2.503700000000007808e+00,1.174663424693896104e+03
2.503800000000008019e+00,1.174707079814777444e+03
2.503900000000008230e+00,1.174750733071248987e+03
2.504000000000008441e+00,1.174794384463261395e+03
2.504100000000008652e+00,1.174838033990764188e+03
2.504200000000008863e+00,1.174881681653707119e+03
2.504300000000009074e+00,1.174925327452040619e+03
2.504400000000009285e+00,1.174968971385714212e+03
2.504500000000009496e+00,1.175012613454677648e+03
2.504600000000009707e+00,1.175056253658881815e+03
2.504700000000009918e+00,1.175099891998275780e+03
2.504800000000010129e+00,1.175143528472809976e+03
2.504900000000010341e+00,1.175187163082433926e+03
2.505000000000010552e+00,1.175230795827098518e+03
2.505100000000010763e+00,1.175274426706752820e+03
2.505200000000010974e+00,1.175318055721347037e+03
2.505300000000011185e+00,1.175361682870831373e+03
2.505400000000011396e+00,1.175405308155155808e+03
2.505500000000011607e+00,1.175448931574270546e+03
2.505600000000011818e+00,1.175492553128125337e+03
2.505700000000012029e+00,1.175536172816670387e+03
2.505800000000012240e+00,1.175579790639855673e+03
2.505900000000012451e+00,1.175623406597631401e+03
2.506000000000012662e+00,1.175667020689947094e+03
2.506100000000012873e+00,1.175710632916753639e+03
2.506200000000013084e+00,1.175754243278000558e+03
2.506300000000013295e+00,1.175797851773638058e+03
2.506400000000013506e+00,1.175841458403616571e+03
2.506500000000013717e+00,1.175885063167886074e+03
2.506600000000013928e+00,1.175928666066396090e+03
2.506700000000014139e+00,1.175972267099097735e+03
2.506800000000014350e+00,1.176015866265940531e+03
2.506900000000014561e+00,1.176059463566874228e+03
2.507000000000014772e+00,1.176103059001849942e+03
2.507100000000014983e+00,1.176146652570816968e+03
2.507200000000015194e+00,1.176190244273725966e+03
2.507300000000015405e+00,1.176233834110527141e+03
2.507400000000015616e+00,1.176277422081170698e+03
2.507500000000015827e+00,1.176321008185606388e+03
2.507600000000016038e+00,1.176364592423784870e+03
2.507700000000016249e+00,1.176408174795656123e+03
2.507800000000016460e+00,1.176451755301170124e+03
2.507900000000016671e+00,1.176495333940277760e+03
2.508000000000016882e+00,1.176538910712929010e+03
2.508100000000017094e+00,1.176582485619073623e+03
2.508200000000017305e+00,1.176626058658662259e+03
2.508300000000017516e+00,1.176669629831645352e+03
2.508400000000017727e+00,1.176713199137972879e+03
2.508500000000017938e+00,1.176756766577595045e+03
2.508600000000018149e+00,1.176800332150462282e+03
2.508700000000018360e+00,1.176843895856524796e+03
2.508800000000018571e+00,1.176887457695733247e+03
2.508900000000018782e+00,1.176931017668037384e+03
2.509000000000018993e+00,1.176974575773387642e+03
2.509100000000019204e+00,1.177018132011734451e+03
2.509200000000019415e+00,1.177061686383028700e+03
2.509300000000019626e+00,1.177105238887219457e+03
2.509400000000019837e+00,1.177148789524258063e+03
2.509500000000020048e+00,1.177192338294094725e+03
2.509600000000020259e+00,1.177235885196679192e+03
2.509700000000020470e+00,1.177279430231963033e+03
2.509800000000020681e+00,1.177322973399895545e+03
2.509900000000020892e+00,1.177366514700427615e+03
2.510000000000021103e+00,1.177410054133509220e+03
2.510100000000021314e+00,1.177453591699091248e+03
2.510200000000021525e+00,1.177497127397123677e+03
2.510300000000021736e+00,1.177540661227557393e+03
2.510400000000021947e+00,1.177584193190342148e+03
2.510500000000022158e+00,1.177627723285429283e+03
2.510600000000022369e+00,1.177671251512768322e+03
2.510700000000022580e+00,1.177714777872310151e+03
2.510800000000022791e+00,1.177758302364005658e+03
