# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '1800.', Y: '0.28', '[Fe/H]': '0.50', f_hole: '1.00', f_rain: '0.00', grav: '100.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 1.460549701977918e-09
4100.056 1.8110628684119643e-09
4150.056 1.3171534646323552e-09
4200.056 9.770693227922111e-10
4250.056 9.133493531175096e-10
4300.056 6.845063017661914e-10
4350.056 7.761551431699865e-10
4400.056 8.438511077401762e-10
4450.056 6.466614210700165e-10
4500.056 7.172627697400449e-10
4550.056 8.942896432538225e-10
4600.056 8.599527684600228e-10
4650.056 7.949541968099323e-10
4700.056 9.653457020301953e-10
4750.056 1.124929952819862e-09
4800.056 8.87543048510058e-10
4850.056 1.105473661200081e-09
4900.056 1.6886697126899598e-09
4950.056 1.8942140817400925e-09
5000.056 1.1735998592598406e-09
5050.056 1.2448044247801373e-09
5100.056 1.6659604323802612e-09
5150.056 1.6880292361005392e-09
5200.056 1.416286475699983e-09
5250.056 1.6400149001101394e-09
5300.056 1.844975564720023e-09
5350.056 1.9622284605101917e-09
5400.056 2.0955614805000093e-09
5450.056 1.6897183422599055e-09
5500.056 1.277587044359927e-09
5550.056 1.318726563239903e-09
5600.056 1.1356776564800473e-09
5650.056 8.916541076299864e-10
5700.056 6.517510874299996e-10
5750.056 3.4658542146998753e-10
5800.056 1.4719145254399636e-10
5850.056 3.311577391959896e-11
5900.056 2.0038325532109627e-12
5950.056 9.431710145200266e-11
6000.056 4.952677392800079e-10
6050.056 1.4508564601000279e-09
6100.056 2.6784662181601575e-09
6150.056 4.076807964399867e-09
6200.056 4.861077234000016e-09
6250.056 6.501330206000248e-09
6300.056 9.415676984400144e-09
6350.056 1.2335591152200353e-08
6400.056 1.5344818878099986e-08
6450.056 1.909987284079832e-08
6500.056 2.0129238789597533e-08
6550.056 2.3619822253997307e-08
6600.056 2.4628216071000826e-08
6650.056 2.3877382630002015e-08
6700.056 1.738613580907845e-08
6750.056 2.5466870278001663e-08
6800.056 2.928154688600131e-08
6850.056 3.551002844199987e-08
6900.056 4.025795319360093e-08
6950.056 4.3578033546997594e-08
7000.056 4.9297015491996635e-08
7050.056 4.7544121590002025e-08
7100.056 3.7608339258997794e-08
7150.056 3.534722770700166e-08
7200.056 4.527578439199922e-08
7250.056 5.873607490400389e-08
7300.056 7.674597254800829e-08
7350.056 8.477529989200344e-08
7400.056 7.816493121300315e-08
7450.056 6.966884852098689e-08
7500.056 6.973264565499754e-08
7550.056 7.230533028200132e-08
7600.056 5.369979258099804e-08
7650.056 8.761883863045854e-09
7700.056 2.4415108989569034e-09
7750.056 3.707392293800117e-08
7800.056 6.712941004097361e-08
7850.056 9.587918803700122e-08
7900.056 1.0026252050401604e-07
7950.056 9.234930280819635e-08
8000.056 1.1229148548099186e-07
8050.056 1.5397960382298303e-07
8100.056 2.1720150338702866e-07
8150.056 3.0505476632401983e-07
8200.056 2.690699793697791e-07
8250.056 3.128941747880045e-07
8300.056 2.9003248472005675e-07
8350.056 3.144689803700461e-07
8400.056 3.282296010300107e-07
8450.056 2.5297650616996247e-07
8500.056 2.4136825741397944e-07
8550.056 2.7663219852001903e-07
8600.056 2.931239908599243e-07
8650.056 3.063754422569387e-07
8700.056 3.1435408602408475e-07
8750.056 3.6910162549103067e-07
8800.056 4.853694314220797e-07
8850.056 5.096366850010218e-07
8900.056 4.1958253561999e-07
8950.056 4.377534671167048e-07
9000.056 5.429315234600738e-07
9050.056 5.759826386599129e-07
9100.056 7.072494336100116e-07
9150.056 8.082511209400193e-07
9200.056 7.89284078980014e-07
9250.056 5.622255006189343e-07
9300.056 4.478079057092327e-07
9350.056 4.96335123952523e-07
9400.056 5.558682346800135e-07
9450.056 6.18642144471189e-07
9500.056 6.998951774992972e-07
9550.056 7.883314414911357e-07
9600.056 7.978903035946259e-07
9650.056 9.067363246206473e-07
9700.056 9.844015913886609e-07
9750.056 8.079358516786719e-07
9800.056 8.970826403568483e-07
9850.056 9.146741294598855e-07
9900.056 8.52127212599999e-07
9950.056 8.191384671899876e-07
10000.056 8.28133801689872e-07
10050.056 8.417464996200133e-07
10100.056 1.0315051140602341e-06
10150.056 1.0274469724297562e-06
10200.056 1.1220732090699155e-06
10250.056 1.113776355819669e-06
10300.056 1.1225847053097722e-06
10350.056 1.2822611784698206e-06
10400.056 1.3926570312999175e-06
10450.056 1.4876754966302715e-06
10500.056 1.4041776237498538e-06
10550.056 1.4073717849903829e-06
10600.056 1.5221912799903247e-06
10650.056 1.6340653321599558e-06
