# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '275.', Y: '0.28', '[Fe/H]': '-0.50', f_hole: '1.00', f_rain: '0.00', grav: '10.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 8.503246011963145e-21
4100.056 1.9520040751900342e-19
4150.056 8.516491252500057e-19
4200.056 9.12916688158303e-19
4250.056 5.222163921400029e-18
4300.056 1.1684624600899949e-17
4350.056 2.2179568113000105e-17
4400.056 3.599934698499971e-17
4450.056 5.537821833899955e-17
4500.056 1.0010086791400067e-16
4550.056 1.343326999070002e-16
4600.056 8.532819999499972e-17
4650.056 6.621725266799964e-17
4700.056 4.1044389515000127e-17
4750.056 2.7012233016000188e-17
4800.056 2.0028802034999932e-17
4850.056 1.3179264621999969e-17
4900.056 1.0319585734500001e-17
4950.056 9.241927495499998e-18
5000.056 8.348003273599969e-18
5050.056 7.727098425900113e-18
5100.056 9.587977149300219e-18
5150.056 1.2383288835600089e-17
5200.056 1.5518816177000073e-17
5250.056 1.8811063156000046e-17
5300.056 2.2726447250000075e-17
5350.056 2.7357358915000055e-17
5400.056 3.126487526900012e-17
5450.056 3.68799561620007e-17
5500.056 4.443797525100034e-17
5550.056 5.368640303600008e-17
5600.056 6.249775937300023e-17
5650.056 6.865755441699985e-17
5700.056 6.388912441299987e-17
5750.056 6.253438181300021e-17
5800.056 5.474069284099955e-17
5850.056 3.592829891299938e-17
5900.056 9.295373997022258e-18
5950.056 6.32321246824041e-17
6000.056 1.7436283284599636e-16
6050.056 4.0548171279000654e-16
6100.056 7.621683732500114e-16
6150.056 1.2515234377700094e-15
6200.056 1.9139235512000123e-15
6250.056 2.6942372928999957e-15
6300.056 3.880604613799997e-15
6350.056 5.4445535197000134e-15
6400.056 7.422094410300004e-15
6450.056 8.470877855119741e-15
6500.056 1.0900461304010157e-14
6550.056 1.4938732372479245e-14
6600.056 2.0591099730970876e-14
6650.056 2.887405428200024e-14
6700.056 3.939496138200016e-14
6750.056 5.211714246000028e-14
6800.056 6.468183125100075e-14
6850.056 7.57031081910002e-14
6900.056 6.977137814730224e-14
6950.056 5.479727112562203e-14
7000.056 6.826435731517749e-14
7050.056 7.267439765189059e-14
7100.056 8.55599890603975e-14
7150.056 6.115674017121562e-14
7200.056 3.972589271928527e-14
7250.056 5.1322638801605055e-14
7300.056 5.4914315275283037e-14
7350.056 8.396454542189239e-14
7400.056 1.1502575299980708e-13
7450.056 1.656967006440127e-13
7500.056 2.039399160720007e-13
7550.056 2.186012921799999e-13
7600.056 2.0544898195999904e-13
7650.056 6.859500765079721e-14
7700.056 4.9156129015801596e-14
7750.056 2.1145734319000374e-13
7800.056 3.341285960300003e-13
7850.056 4.938965312599917e-13
7900.056 6.290291635799722e-13
7950.056 7.02526706373995e-13
8000.056 8.98236517147001e-13
8050.056 1.0283515523100194e-12
8100.056 6.298135203266585e-13
8150.056 3.8747935106668495e-13
8200.056 8.571715004046409e-13
8250.056 8.973913464442037e-13
8300.056 9.62661656888734e-13
8350.056 9.288574765155434e-13
8400.056 1.1154245824343406e-12
8450.056 1.7594323660031877e-12
8500.056 2.1636826432100018e-12
8550.056 2.7646540961500533e-12
8600.056 3.3320488792000066e-12
8650.056 3.5592751590000354e-12
8700.056 2.9504191142000623e-12
8750.056 2.6731903734000017e-12
8800.056 2.0161657766398814e-12
8850.056 1.1854462748178878e-12
8900.056 4.205832853004542e-14
8950.056 2.2014449146991415e-14
9000.056 1.7850411489443103e-14
9050.056 1.159500426840284e-13
9100.056 1.8323676725771976e-13
9150.056 3.868549575679362e-13
9200.056 1.2806608502605157e-12
9250.056 1.0081641265454012e-12
9300.056 8.45575791493544e-15
9350.056 9.21113141368642e-15
9400.056 9.882412155160014e-14
9450.056 8.248273920714628e-14
9500.056 6.960147605382806e-14
9550.056 7.200085026536168e-14
9600.056 9.549927294370279e-14
9650.056 2.6142340481388895e-13
9700.056 1.1175235404057945e-12
9750.056 6.158138123225854e-13
9800.056 5.121434151295878e-13
9850.056 4.903688190978593e-13
9900.056 6.519537328750097e-13
9950.056 5.354756791437295e-13
10000.056 4.930284258876253e-13
10050.056 4.537347464609947e-13
10100.056 3.5942630710398573e-13
10150.056 1.595842469573379e-13
10200.056 3.5782910760263997e-14
10250.056 4.7813296946482774e-14
10300.056 1.1718889888104571e-13
10350.056 3.8524429642675286e-14
10400.056 1.9484221425725595e-13
10450.056 4.3575042781277464e-13
10500.056 9.033202958400209e-13
10550.056 1.819872969566598e-12
10600.056 2.5767145358201376e-12
10650.056 2.7034323846100164e-12
10700.056 2.0766114609438665e-12
10750.056 1.9854956142567085e-12
10800.056 1.8272297511239397e-12
10850.056 1.460585926098016e-12
10900.056 1.056046058230514e-12
10950.056 6.044843298424271e-13
11000.056 3.4113603523332826e-13
11050.056 1.7522055633518655e-13
11100.056 6.68591499799442e-14
11150.056 1.5396066237193994e-14
11200.056 4.126459478337592e-15
11250.056 2.443641695947286e-15
11300.056 1.270157570438937e-14
11350.056 1.4515978444101326e-15
11400.056 1.8487754300757416e-14
11450.056 9.519998329137682e-15
11500.056 8.294253513786455e-15
11550.056 1.0541990367490835e-15
11600.056 2.0814377149318366e-16
11650.056 3.117019680203148e-15
11700.056 3.755360065042634e-15
11750.056 6.911348581810278e-16
11800.056 5.244968621565498e-15
11850.056 4.295845662278886e-15
11900.056 3.77438939547273e-15
11950.056 7.097523612262459e-15
12000.056 1.1654255806191777e-14
12050.056 1.9217456481506778e-14
12100.056 2.6807702145811398e-14
12150.056 3.6183148147676344e-14
12200.056 3.985077501848289e-14
12250.056 1.1232686802253195e-13
12300.056 2.7687564136655095e-13
12350.056 3.581929504451263e-13
12400.056 7.709021868509737e-13
12450.056 1.6725021412220613e-12
12500.056 2.2081134298052016e-12
12550.056 2.6259845597498873e-12
12600.056 5.3201876425503064e-12
12650.056 1.0772856094191644e-11
12700.056 1.2477720020016867e-11
12750.056 7.146586151827848e-12
12800.056 3.1896909001313158e-12
12850.056 1.3611066641364685e-12
12900.056 9.01248489358818e-13
12950.056 7.29349182230495e-13
13000.056 7.221963602008011e-13
13050.056 4.3885609870005197e-13
13100.056 3.583063419208912e-13
13150.056 1.6998509220164246e-13
13200.056 2.2691427536159645e-13
13250.056 2.7749891057187426e-13
13300.056 1.141575433740873e-13
13350.056 4.599048142218751e-14
13400.056 2.405014844919772e-14
13450.056 3.9508107707833395e-15
13500.056 6.438333633055784e-16
13550.056 8.670254705309835e-17
13600.056 4.359619379889578e-18
13650.056 8.461793012070018e-17
13700.056 2.4207716489571613e-17
13750.056 1.7463526631220723e-16
13800.056 1.0278249684444104e-16
13850.056 4.153488371810169e-17
13900.056 1.700994205935005e-16
13950.056 8.904163772179366e-17
14000.056 1.7921861237638528e-16
14050.056 2.6654896781951085e-16
14100.056 3.8374751217172123e-16
14150.056 2.1465866059194397e-15
14200.056 1.0994209463267087e-15
14250.056 2.447630780936402e-15
14300.056 8.437257871772389e-15
14350.056 7.86342463165788e-15
14400.056 7.88505764299977e-15
14450.056 1.9720958770744605e-14
14500.056 5.676935971891504e-14
14550.056 7.590061945084651e-14
14600.056 6.8613461813352e-14
14650.056 1.9961186874817933e-14
14700.056 7.298354528794137e-15
14750.056 1.0730794324373646e-15
14800.056 2.462177349490421e-15
14850.056 3.045157381168668e-15
14900.056 2.6706050406690553e-15
14950.056 1.26523191586843e-15
15000.056 5.7367938897456444e-15
15050.056 7.0808452961915775e-15
15100.056 2.04267410186845e-15
15150.056 5.352062084330168e-16
15200.056 4.998505617847045e-15
15250.056 1.2629087960372217e-14
15300.056 1.754982939831499e-14
15350.056 3.5433849577082235e-14
15400.056 3.863420986435509e-14
15450.056 5.933624754298137e-14
15500.056 8.114013514091608e-14
15550.056 3.00769099464311e-13
15600.056 5.379523974893586e-13
15650.056 1.3777487417040747e-12
15700.056 3.1121689514346788e-12
15750.056 5.3146450815363345e-12
15800.056 6.568154384235958e-12
15850.056 9.41329465004813e-12
15900.056 1.2394856755524963e-11
15950.056 1.689554881543804e-11
16000.056 1.6207334143521675e-11
16050.056 1.0587284372608693e-11
16100.056 5.696465347183705e-12
16150.056 2.355216245003324e-12
16200.056 8.967000128622116e-13
16250.056 3.9155639929754735e-13
16300.056 1.4754022080059495e-13
16350.056 2.0644359581321986e-13
16400.056 2.7965989264621606e-13
16450.056 2.0141157842358938e-13
16500.056 1.3778063372286834e-13
16550.056 1.157639617597555e-13
16600.056 4.2505710763689235e-13
16650.056 2.2916798712316937e-13
16700.056 2.4385360003711543e-14
16750.056 1.0202998109735922e-13
16800.056 1.9395208619209014e-13
16850.056 2.0583503166175916e-13
16900.056 5.292895231578398e-14
16950.056 2.2296694716506033e-14
17000.056 7.692121334666921e-15
17050.056 1.7103302376797865e-14
17100.056 5.863426293131928e-14
17150.056 2.3187898156624458e-14
17200.056 1.812799353261561e-13
17250.056 3.9082172212276426e-14
17300.056 2.5945509594340242e-14
17350.056 3.967295980387881e-14
17400.056 1.1677788469424325e-13
17450.056 1.479923166836404e-13
17500.056 2.6360432994309647e-13
17550.056 2.4136764696375e-13
17600.056 1.8321020197544723e-13
17650.056 1.2110152862383737e-13
17700.056 9.539622756899052e-14
17750.056 9.200096305741343e-14
17800.056 3.885301560042666e-13
17850.056 9.467788362401546e-14
17900.056 6.982840942303799e-14
17950.056 5.639011173923056e-14
18000.056 9.014929885651531e-14
18050.056 7.00061335906093e-14
18100.056 9.237174190122554e-14
18150.056 3.9617076848540626e-14
18200.056 3.115764353221575e-14
18250.056 1.4969095009102189e-13
18300.056 1.1840471201063986e-14
18350.056 8.708107794564074e-15
18400.056 3.2823202756440296e-15
18450.056 5.123373790704879e-14
18500.056 4.0199982588454666e-14
18550.056 1.7482819434913417e-14
18600.056 4.762242506930464e-14
18650.056 3.647205766291845e-14
18700.056 1.7573250144343142e-15
18750.056 3.914823148663987e-15
18800.056 8.63277558096844e-14
18850.056 7.110488861298808e-14
18900.056 8.877010484021034e-14
18950.056 9.464671621403684e-14
19000.056 1.3990316273446878e-14
19050.056 5.814730605953221e-15
19100.056 2.20576620816797e-14
19150.056 8.704276649372957e-15
19200.056 1.845568713427713e-14
19250.056 1.3752672190318867e-14
19300.056 7.164066477663108e-15
19350.056 7.228149545649213e-15
19400.056 5.415420578566577e-15
19450.056 7.045240119231641e-15
19500.056 3.830488087342619e-15
19550.056 1.2494747648715298e-14
19600.056 3.105077180693406e-14
19650.056 1.8856542921716585e-14
19700.056 2.5415094568814154e-14
19750.056 3.895852702204316e-14
19800.056 2.2960644126253457e-14
19850.056 2.6622265377947485e-14
19900.056 4.44515907556169e-14
19950.056 4.9805925551590193e-14
20000.056 5.975165427637872e-14
20050.056 4.333016985783412e-14
20100.056 6.44828209323725e-14
20150.056 3.949172075402353e-14
20200.056 2.4398273698485914e-14
20250.056 5.645769520126403e-14
20300.056 6.916921551558451e-14
20350.056 7.097227265510678e-14
20400.056 6.323234321432015e-14
20450.056 9.149244609158311e-14
20500.056 9.685767272949871e-14
20550.056 9.899268834747837e-14
20600.056 9.785610782299627e-14
20650.056 1.0302161598339742e-13
20700.056 1.017415229487941e-13
20750.056 9.781499376295502e-14
20800.056 8.581625354139018e-14
20850.056 8.843845076960138e-14
20900.056 8.495209960599477e-14
20950.056 7.710960282340184e-14
21000.056 7.15381052150025e-14
21050.056 7.238432708599739e-14
21100.056 7.061226492800273e-14
21150.056 7.240565308200166e-14
21200.056 7.368280460704743e-14
21250.056 7.779703925699399e-14
21300.056 7.777515990619483e-14
21350.056 8.336999678852157e-14
21400.056 9.531058763779736e-14
21450.056 8.941037033377643e-14
21500.056 8.801275006174271e-14
21550.056 9.38668641831239e-14
21600.056 8.610823310581149e-14
21650.056 7.156784056775361e-14
21700.056 6.318035657231707e-14
21750.056 7.49133828151902e-14
21800.056 6.09838368247725e-14
21850.056 6.034479882681621e-14
21900.056 5.063073240543771e-14
21950.056 1.931656898963462e-14
22000.056 1.5452054154621003e-15
22050.056 4.423080126349732e-15
22100.056 1.7271853192952742e-14
