# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.50', Kzz: '1.0000E+05', Teff: '275.', Y: '0.28', '[Fe/H]': '0.00', f_hole: '1.00', f_rain: '0.00', grav: '1000.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 6.664044540700102e-19
4100.056 1.267661990730017e-17
4150.056 5.915060431100047e-17
4200.056 1.1239911811800058e-16
4250.056 3.2261793672000193e-16
4300.056 6.343649853700027e-16
4350.056 1.0947115388800038e-15
4400.056 1.801988973800006e-15
4450.056 2.8202215726000094e-15
4500.056 4.288050861700013e-15
4550.056 6.1425014328000125e-15
4600.056 7.359802797900013e-15
4650.056 8.650032267500009e-15
4700.056 8.961652727199996e-15
4750.056 7.927632031799989e-15
4800.056 6.703927552499989e-15
4850.056 5.230683515899986e-15
4900.056 4.276370462199993e-15
4950.056 3.574422087699993e-15
5000.056 2.5565301254999885e-15
5050.056 1.821465270999998e-15
5100.056 1.881060557200003e-15
5150.056 2.0538572969000018e-15
5200.056 2.2910277556000026e-15
5250.056 2.4824785709000015e-15
5300.056 2.6688564772000025e-15
5350.056 2.8803014462000022e-15
5400.056 3.064596492200003e-15
5450.056 3.3403568960000053e-15
5500.056 3.6838844879000036e-15
5550.056 4.043371797800004e-15
5600.056 4.363248304300003e-15
5650.056 4.632081961500002e-15
5700.056 4.6680600287000026e-15
5750.056 4.7172796779999994e-15
5800.056 4.410037677999993e-15
5850.056 3.207418693499966e-15
5900.056 9.998842697250315e-16
5950.056 5.79175655880009e-15
6000.056 1.1747927210700084e-14
6050.056 2.145812067500017e-14
6100.056 3.5663140711000245e-14
6150.056 5.517887602600032e-14
6200.056 8.190557256000042e-14
6250.056 1.1399700098200044e-13
6300.056 1.6244676288000074e-13
6350.056 2.2770168051000095e-13
6400.056 3.114772090900015e-13
6450.056 3.7076007359999966e-13
6500.056 4.902363287100047e-13
6550.056 6.850746548799992e-13
6600.056 9.507460780400088e-13
6650.056 1.348852616900007e-12
6700.056 1.7341218030000079e-12
6750.056 2.34826645300001e-12
6800.056 2.7112551333000025e-12
6850.056 2.5745177592999938e-12
6900.056 1.814790255239977e-12
6950.056 1.1014159169700085e-12
7000.056 1.165051292059985e-12
7050.056 1.1274791840800029e-12
7100.056 1.2558683843899987e-12
7150.056 8.473456149649769e-13
7200.056 4.702474371640031e-13
7250.056 5.233685053099748e-13
7300.056 5.272978706640205e-13
7350.056 8.080474512500041e-13
7400.056 1.148974461840006e-12
7450.056 1.6154813872000155e-12
7500.056 2.0026520505000033e-12
7550.056 2.268778237200005e-12
7600.056 2.389196794900001e-12
7650.056 1.5607731123799792e-12
7700.056 1.611930026880021e-12
7750.056 2.9795253839000216e-12
7800.056 3.725497263000016e-12
7850.056 4.334998276199994e-12
7900.056 5.1644367875000225e-12
7950.056 6.054558550800009e-12
8000.056 7.352252654100026e-12
8050.056 8.565748291000022e-12
8100.056 5.511586830799863e-12
8150.056 2.3145612427401626e-12
8200.056 6.885001427470015e-12
8250.056 7.493715262295249e-12
8300.056 7.650043249959857e-12
8350.056 8.73066595930006e-12
8400.056 1.283605218950037e-11
8450.056 2.083491044900024e-11
8500.056 2.7388016470000205e-11
8550.056 3.530097255600039e-11
8600.056 4.413240579200029e-11
8650.056 4.965060700900012e-11
8700.056 4.744245079799994e-11
8750.056 4.85363954680001e-11
8800.056 4.250361638599944e-11
8850.056 2.511655806609862e-11
8900.056 1.5231582653957591e-12
8950.056 3.4462368598892657e-13
9000.056 3.0041198477485384e-13
9050.056 3.2915324857799943e-12
9100.056 4.1747167807905704e-12
9150.056 7.041895117649694e-12
9200.056 1.7127513668191625e-11
9250.056 1.1916073492148535e-11
9300.056 1.775508572006877e-14
9350.056 9.141719105524127e-15
9400.056 5.60832415744514e-13
9450.056 7.363465285823907e-14
9500.056 9.823449997521972e-14
9550.056 7.631319308555413e-14
9600.056 1.9506135877650686e-13
9650.056 6.909227285651234e-13
9700.056 5.612674889399836e-12
9750.056 5.02240123013061e-12
9800.056 7.32610926561971e-12
9850.056 1.126792653429995e-11
9900.056 1.92494579228009e-11
9950.056 1.793568931190032e-11
10000.056 1.542067202011123e-11
10050.056 1.0705203022499509e-11
10100.056 8.616221338600016e-12
10150.056 4.7265142309997626e-12
10200.056 1.5522227435100152e-12
10250.056 1.5190977812400185e-12
10300.056 2.9408501789298725e-12
10350.056 1.3321614463200836e-12
10400.056 3.375913731000107e-12
10450.056 4.995922475899845e-12
10500.056 6.679952196200114e-12
10550.056 8.922165507300043e-12
10600.056 9.41238268940001e-12
10650.056 8.338899395999918e-12
10700.056 6.375119817399912e-12
10750.056 5.257451432299906e-12
10800.056 4.371277883700038e-12
