# %ECSV 1.0
# ---
# datatype:
# - {name: wav, unit: Angstrom, datatype: float64}
# - {name: flux_nu, unit: erg / (cm2 Hz s), datatype: float64}
# meta: {C/O: '1.00', Kzz: '1.0000E+05', Teff: '900.', Y: '0.28', '[Fe/H]': '0.00', f_hole: '1.00', f_rain: '0.00', grav: '3160.'}
# schema: astropy-2.0
wav flux_nu
4000.0559999999996 nan
4050.0559999999996 3.935546734194497e-14
4100.056 5.245932037820057e-12
4150.056 3.190488508500049e-11
4200.056 2.976671822306548e-11
4250.056 1.0412863882600087e-10
4300.056 1.6371399749200222e-10
4350.056 2.0601590546000053e-10
4400.056 2.642127164600012e-10
4450.056 3.3754078819000356e-10
4500.056 3.647142432900017e-10
4550.056 3.8552870200999823e-10
4600.056 2.358164251699996e-10
4650.056 1.6393388868999924e-10
4700.056 9.51856276699992e-11
4750.056 2.692931521999962e-11
4800.056 4.971708350399922e-12
4850.056 1.0737807572499864e-12
4900.056 4.080923347199968e-13
4950.056 1.9370403975999853e-13
5000.056 8.541255811799927e-14
5050.056 4.502089042399987e-14
5100.056 4.0436816110000016e-14
5150.056 3.8766518634000003e-14
5200.056 3.7389831851e-14
5250.056 3.5707666855999983e-14
5300.056 3.4292174943999987e-14
5350.056 3.347590417199999e-14
5400.056 3.3075472701999996e-14
5450.056 3.299807105600002e-14
5500.056 3.3149284285000014e-14
5550.056 3.3467267887000006e-14
5600.056 3.3746837140000006e-14
5650.056 3.372343074799999e-14
5700.056 3.302664689299998e-14
5750.056 3.133089815199997e-14
5800.056 2.7705310195999927e-14
5850.056 1.9777968739299802e-14
5900.056 6.9148933675930016e-15
5950.056 3.7909926062000574e-14
6000.056 7.685724729100044e-14
6050.056 1.3410813968700115e-13
6100.056 2.1969541244000163e-13
6150.056 3.498988275500023e-13
6200.056 5.484472765200033e-13
6250.056 8.44290705600005e-13
6300.056 1.2895157375000072e-12
6350.056 1.9458636091000114e-12
6400.056 2.899423953300018e-12
6450.056 4.210220204900015e-12
6500.056 6.085085048000034e-12
6550.056 8.701716410600024e-12
6600.056 1.23073749191001e-11
6650.056 1.7222294575000094e-11
6700.056 2.177602696540018e-11
6750.056 3.148316273100014e-11
6800.056 3.952194301400014e-11
6850.056 4.362519869000002e-11
6900.056 4.0309605315999996e-11
6950.056 3.478840164799994e-11
7000.056 3.381983062799999e-11
7050.056 3.604318982399998e-11
7100.056 3.907069828599999e-11
7150.056 3.974440116699977e-11
7200.056 3.8669356555000164e-11
7250.056 3.681383966899945e-11
7300.056 3.3368091592000414e-11
7350.056 3.0383286447999876e-11
7400.056 2.741441015100015e-11
7450.056 2.4587747650000155e-11
7500.056 2.160055541699993e-11
