"ra","dec","file","root","grade","zfit","z","comment","References","nRef","grating","filter","sn50","wmin","wmax","Lya","Ha","OIII","HST","NIRCam","slit","FITS","Fnu","Flam"
"3.603845","-30.382235","abell2744-ddt-v1_prism-clear_2756_100001.spec.fits","abell2744-ddt-v1","3","7.8783","7.8783","","KNa23  z=7.874","1","PRISM","CLEAR","1.99","0.6","5.29","-3.2","","10.5","","","","FITS   zfit   spl","",""
"3.603377","-30.382238","abell2744-ddt-v1_prism-clear_2756_100002.spec.fits","abell2744-ddt-v1","3","7.8756","7.8756","","TMo22  z=7.877","1","PRISM","CLEAR","1.42","0.6","5.29","0.3","","4.3","","","","FITS   zfit   spl","",""
"3.581439","-30.434479","abell2744-ddt-v1_prism-clear_2756_10020.spec.fits","abell2744-ddt-v1","2","8.9225","8.9225","","-","0","PRISM","CLEAR","-0.7","0.6","5.29","3.7","","25.3","","","","FITS   zfit   spl","",""
"3.596094","-30.385806","abell2744-ddt-v1_prism-clear_2756_10025.spec.fits","abell2744-ddt-v1","3","7.8845","7.8845","","TMo22  z=7.887 ;  KEHe22  z=7.885","2","PRISM","CLEAR","2.19","0.6","5.29","-1.8","","31","","","","FITS   zfit   spl","",""
"3.604643","-30.392451","abell2744-ddt-v1_prism-clear_2756_101.spec.fits","abell2744-ddt-v1","1","0.194","0.194","","-","0","PRISM","CLEAR","1.52","0.6","5.29","","-0.4","","","","","FITS   zfit   spl","",""
"3.588837","-30.39484","abell2744-ddt-v1_prism-clear_2756_102.spec.fits","abell2744-ddt-v1","3","2.6509","2.6509","","-","0","PRISM","CLEAR","1.35","0.6","5.29","","9.9","4.1","","","","FITS   zfit   spl","",""
"3.590694","-30.395542","abell2744-ddt-v1_prism-clear_2756_110003.spec.fits","abell2744-ddt-v1","3","5.6633","5.6633","","-","0","PRISM","CLEAR","6.93","0.6","5.29","-2.2","34.9","38.3","","","","FITS   zfit   spl","",""
"3.550854","-30.405896","abell2744-ddt-v1_prism-clear_2756_150015.spec.fits","abell2744-ddt-v1","3","5.0491","5.0491","","-","0","PRISM","CLEAR","3.88","0.6","5.29","1.1","16.2","18.6","","","","FITS   zfit   spl","",""
"3.580133","-30.429067","abell2744-ddt-v1_prism-clear_2756_160024.spec.fits","abell2744-ddt-v1","1","0.4735","0.4735","","-","0","PRISM","CLEAR","1.64","0.6","5.29","","11.1","2.1","","","","FITS   zfit   spl","",""
"3.612873","-30.436393","abell2744-ddt-v1_prism-clear_2756_160118.spec.fits","abell2744-ddt-v1","3","2.9267","2.9267","","-","0","PRISM","CLEAR","5.82","0.73","5.29","","6.9","9.3","","","","FITS   zfit   spl","",""
"3.5646","-30.424971","abell2744-ddt-v1_prism-clear_2756_160123.spec.fits","abell2744-ddt-v1","1","0.2685","0.2685","","-","0","PRISM","CLEAR","2.81","0.6","5.29","","4.2","0.8","","","","FITS   zfit   spl","",""
"3.580275","-30.424404","abell2744-ddt-v1_prism-clear_2756_160133.spec.fits","abell2744-ddt-v1","3","4.0254","4.0254","","KNa23  z=4.015 ;  YIs23  z=4.015","2","PRISM","CLEAR","2.88","0.6","5.29","3.2","29.5","31","","","","FITS   zfit   spl","",""
"3.616018","-30.429917","abell2744-ddt-v1_prism-clear_2756_160149.spec.fits","abell2744-ddt-v1","3","3.7866","3.7866","","-","0","PRISM","CLEAR","6.2","0.6","5.29","","11.7","11.1","","","","FITS   zfit   spl","",""
"3.557455","-30.430211","abell2744-ddt-v1_prism-clear_2756_160150.spec.fits","abell2744-ddt-v1","1","0.7609","0.7609","","-","0","PRISM","CLEAR","4.32","0.6","5.29","","2.1","-1.8","","","","FITS   zfit   spl","",""
"3.598974","-30.431292","abell2744-ddt-v1_prism-clear_2756_160158.spec.fits","abell2744-ddt-v1","1","0.6433","0.6433","","-","0","PRISM","CLEAR","0.91","0.6","5.29","","","","","","","FITS   zfit   spl","",""
"3.622981","-30.427034","abell2744-ddt-v1_prism-clear_2756_160159.spec.fits","abell2744-ddt-v1","1","0.242","0.242","","-","0","PRISM","CLEAR","2.12","0.6","5.29","","-0.1","3.1","","","","FITS   zfit   spl","",""
