"jname","ndup","ra","dec","file","root","nGr","Grating","grade","zfit","z","comment","References","nRef","sn50","wmin","wmax","Lya","Ha","OIII","L_Ha","L_OIII","HST","NIRCam","slit","FITS","Fnu","Flam"
"j001424.92m302256.05","2","3.603845","-30.382235","abell2744-ddt-v2_prism-clear_2756_100001.spec.fits","abell2744-ddt-v2","0","","3","7.8753","7.8753","Redshifts match v1 grade=3","KNa23  z=7.874","1","1.29","0.61","5.28","-2.5","","","","42.31","","","","FITS   zfit   spl","",""
"j001424.81m302256.02","1","3.603377","-30.382238","abell2744-ddt-v2_prism-clear_2756_100002.spec.fits","abell2744-ddt-v2","0","","3","7.8798","7.8798","Redshifts match v1 grade=3","TMo22  z=7.877","1","0.75","0.61","5.28","-0.7","","","","42.16","","","","FITS   zfit   spl","",""
"j001425.58m302251.21","1","3.606571","-30.380932","abell2744-ddt-v2_prism-clear_2756_100004.spec.fits","abell2744-ddt-v2","0","","2","3.7511","3.7511","","TMo22  z=7.884","1","0.33","0.61","5.28","","2.2","3.2","41.1","41.49","","","","FITS   zfit   spl","",""
"j001425.92m302351.94","1","3.608015","-30.397762","abell2744-ddt-v2_prism-clear_2756_10018.spec.fits","abell2744-ddt-v2","0","","1","6.3351","6.3351","","-","0","0.43","0.61","5.28","0.1","2.9","","41.77","41.64","","","","FITS   zfit   spl","",""
"j001419.55m302604.13","1","3.581439","-30.434479","abell2744-ddt-v2_prism-clear_2756_10020.spec.fits","abell2744-ddt-v2","0","","1","6.659","6.659","","-","0","-0.07","0.61","5.28","0.1","0.6","","41.07","40.87","","","","FITS   zfit   spl","",""
"j001423.06m302308.90","1","3.596094","-30.385806","abell2744-ddt-v2_prism-clear_2756_10025.spec.fits","abell2744-ddt-v2","0","","3","7.8851","7.8851","Redshifts match v1 grade=3","TMo22  z=7.887 ;  KEHe22  z=7.885","2","1.26","0.61","5.28","-1.3","","","","43.01","","","","FITS   zfit   spl","",""
"j001425.11m302332.82","1","3.604643","-30.392451","abell2744-ddt-v2_prism-clear_2756_101.spec.fits","abell2744-ddt-v2","0","","1","2.5604","2.5604","","-","0","1","0.61","5.28","","5.9","1.6","41.07","40.79","","","","FITS   zfit   spl","",""
"j001421.32m302341.42","1","3.588837","-30.39484","abell2744-ddt-v2_prism-clear_2756_102.spec.fits","abell2744-ddt-v2","0","","3","2.6498","2.6498","Redshifts match v1 grade=3","-","0","0.83","0.61","5.28","","8.2","4.5","41.51","41.53","","","","FITS   zfit   spl","",""
"j001416.93m302418.41","1","3.570532","-30.405114","abell2744-ddt-v2_prism-clear_2756_-10.spec.fits","abell2744-ddt-v2","0","","1","2.8872","2.8872","","-","0","0.13","0.61","5.28","","3.3","1.1","40.98","40.7","","","","FITS   zfit   spl","",""
"j001421.77m302343.95","1","3.590694","-30.395542","abell2744-ddt-v2_prism-clear_2756_110003.spec.fits","abell2744-ddt-v2","0","","3","5.6617","5.6617","Redshifts match v1 grade=3","-","0","4.27","0.61","5.28","-1.2","36.1","","42.68","43.01","","","","FITS   zfit   spl","",""
"j001418.14m302603.46","1","3.575582","-30.434293","abell2744-ddt-v2_prism-clear_2756_-11.spec.fits","abell2744-ddt-v2","0","","1","5.43","5.43","","-","0","-0.09","0.61","5.28","0.1","2.1","","41.11","40.18","","","","FITS   zfit   spl","",""
"j001412.21m302421.23","1","3.550854","-30.405896","abell2744-ddt-v2_prism-clear_2756_150015.spec.fits","abell2744-ddt-v2","0","","3","5.0477","5.0477","Redshifts match v1 grade=3","-","0","1.69","0.61","5.28","3.5","23.4","","42.32","42.73","","","","FITS   zfit   spl","",""
"j001419.23m302544.64","1","3.580133","-30.429067","abell2744-ddt-v2_prism-clear_2756_160024.spec.fits","abell2744-ddt-v2","0","","1","0.1336","0.1336","","-","0","1.04","0.61","5.28","","1.7","","38.26","","","","","FITS   zfit   spl","",""
"j001427.09m302611.01","1","3.612873","-30.436393","abell2744-ddt-v2_prism-clear_2756_160118.spec.fits","abell2744-ddt-v2","0","","3","2.9317","2.9317","Redshifts match v1 grade=3","-","0","3.6","0.75","5.28","","7.4","7.9","41.36","41.68","","","","FITS   zfit   spl","",""
"j001415.50m302529.90","1","3.5646","-30.424971","abell2744-ddt-v2_prism-clear_2756_160123.spec.fits","abell2744-ddt-v2","0","","1","0.2747","0.2747","","-","0","1.9","0.61","5.28","","2.2","0.2","38.98","38.19","","","","FITS   zfit   spl","",""
